"id","created_at","text","retweet_count","favorite_count"
"1552352413180465152","2022-07-27 17:57:11+00:00","Durante mi visita a Manabí, también entregamos títulos de propiedad a pequeños agricultores. Con esto podrán accede… https://t.co/dIw6VMPg8s","454","614"
"1552351564328730630","2022-07-27 17:53:48+00:00","Seguimos promoviendo acciones que mejoran las condiciones de vida de los ecuatorianos, cuidan el medio ambiente y r… https://t.co/KYxkR2bKxL","288","358"
"1552351557546549259","2022-07-27 17:53:47+00:00","Me alegra compartir con ustedes el inicio del proyecto de viviendas sostenibles en Manabí. Las futuras casas hechas… https://t.co/5S9dB77H5x","465","637"
"1552126801807376385","2022-07-27 03:00:41+00:00","Les comparto la recopilación de nuestra agenda de trabajo de hoy. Seguimos fortaleciendo el desarrollo económico de… https://t.co/mvGkNb3qsx","451","581"
"1552121051932418048","2022-07-27 02:37:50+00:00","Desde el Ejecutivo vamos a agotar todas las vías y canales para que el país tenga una Ley de Comunicación que no af… https://t.co/46d3wDWObG","495","811"
"1552086464514646017","2022-07-27 00:20:24+00:00","Condecoramos al Dr. Galo Martínez Leisker con la Orden Nacional “Al Mérito”, en el Grado de Caballero, por su traye… https://t.co/gfJQiWg9zT","458","719"
"1552064388504473600","2022-07-26 22:52:40+00:00","Los 259 deportistas que participaron en los Juegos Bolivarianos 2022 son modelos a seguir. Los ecuatorianos aplaudi… https://t.co/cswcVntSuP","550","773"
"1552046521855754252","2022-07-26 21:41:41+00:00","Nosotros tenemos claro que a través de la promoción de la inversión, dinamizamos la economía del país. Así generamo… https://t.co/wDKtUa9up2","605","881"
"1552027923732992000","2022-07-26 20:27:46+00:00","En el Día del Deporte Ecuatoriano tuve el honor de tener un encuentro con los medallistas de los Juegos Bolivariano… https://t.co/hd3qlJ3q5u","603","834"
"1552009680301527043","2022-07-26 19:15:17+00:00","#EcuadorOpenForBusiness es el escenario perfecto para seguir convirtiendo a Ecuador en un país de oportunidades y p… https://t.co/FFwF3u6omf","481","695"
"1551998660161961984","2022-07-26 18:31:29+00:00","La valentía y valor del Sargento Raúl Wong debe ser reconocida. Tengan por seguro que seguiremos dándole todo el re… https://t.co/gQENZsdjYQ","520","917"
"1551957489930932230","2022-07-26 15:47:54+00:00","Entregamos la condecoración ""Al Valor"" al Sargento Segundo de la Dinased, @PoliciaEcuador, Raúl Wong. Reconocemos s… https://t.co/tbQYRXR0x9","810","1831"
"1551921092331282433","2022-07-26 13:23:16+00:00","Les comparto un resumen de los actos conmemorativos en honor a la Perla del Pacífico por sus 487 años de Fundación.… https://t.co/IV3J29Fb9P","531","727"
"1551915151749677056","2022-07-26 12:59:40+00:00","El verdadero progreso se construye uniéndonos más.   #UnidadParaCrearOportunidades https://t.co/DobUc9KNlD","554","1101"
"1551758531489144832","2022-07-26 02:37:18+00:00","Para culminar el homenaje a la Fundación de Guayaquil. Quiero recordarle a los guayaquileños que el verdadero progr… https://t.co/cnoubh0LPV","848","622"
"1551746766151847947","2022-07-26 01:50:33+00:00","Desde junio del año pasado, es decir en el lapso de un año, el desempleo ha descendido en más de un punto porcentua… https://t.co/zEXPaI8GpR","378","505"
"1551746195000893441","2022-07-26 01:48:17+00:00","En Guayaquil se han abierto 190 nuevos establecimientos turísticos, lo que representa 1.700 nuevos puestos de traba… https://t.co/x5I72Rbdth","381","497"
"1551745486020919296","2022-07-26 01:45:28+00:00","El exitoso lanzamiento de la fase de prueba del programa #MedicinaCerca, ha iniciado aquí en Guayaquil hace diez dí… https://t.co/OcGyGgvaKh","274","317"
"1551744804689780737","2022-07-26 01:42:46+00:00","Hemos capturado la cifra récord de 110 toneladas de estupefacientes, así como más de USD 7 millones en operaciones… https://t.co/kJkbeJUYPQ","287","417"
"1551744765271629824","2022-07-26 01:42:36+00:00","En cuanto a seguridad nuestra @PoliciaEcuador ha realizado aquí 12 mil detenciones por delitos y 2 mil por boletas… https://t.co/abAzYcdg3P","536","1260"
"1551744631687315456","2022-07-26 01:42:04+00:00","Velamos por más de 5.300 adultos mayores guayaquileños en situación de pobreza y pobreza extrema, ofreciéndoles ate… https://t.co/yjbFIJtGYL","362","438"
"1551744537122545669","2022-07-26 01:41:42+00:00","A través de bonos y servicios, invertimos en Guayaquil USD 147 millones que han beneficiado a 160 mil personas que… https://t.co/OWkCKxbgcq","360","431"
"1551744405987643393","2022-07-26 01:41:11+00:00","La conectividad digital también ha sido nuestra prioridad. Solo en Guayaquil hemos instalado 600 puntos wifi cerca… https://t.co/OFaKGMXi3t","394","454"
"1551744330804633600","2022-07-26 01:40:53+00:00","También dinamizaremos al sector productivo y exportador. Con obras como el viaducto sur y los tramos viales sobre l… https://t.co/KVpAWQhMkb","389","459"
"1551743503423651840","2022-07-26 01:37:35+00:00","Con una inversión de más de USD 22 millones, brindamos a 32 mil niños y niñas guayaquileñas menores de 3 años los b… https://t.co/b2IMobVH3R","259","304"
"1551743261240397824","2022-07-26 01:36:38+00:00","A partir de este mes de julio incrementamos el Bono de Desarrollo Humano, que en Guayaquil beneficia a más de 85.00… https://t.co/Kxw3TdU0HJ","440","755"
"1551742475596972037","2022-07-26 01:33:30+00:00","Seguimos llevando las obras a la población más vulnerable. Por eso estamos rehabilitando la tan necesitada vía al h… https://t.co/SxqNcRONms","270","305"
"1551741976890015744","2022-07-26 01:31:31+00:00","Si bien existe aún una deuda heredada por gobiernos anteriores con la ciudad. Nosotros hemos entregado a los guayaq… https://t.co/VYR1hldI6n","276","305"
"1551741658085167104","2022-07-26 01:30:15+00:00","Seguimos trabajando por Guayaquil. Por eso en estos 14 meses hemos entregado más $550 millones en recursos para edu… https://t.co/g1rT1lf85v","283","330"
"1551741098598563846","2022-07-26 01:28:02+00:00","¡Unidad guayaquileños! ¡Unidad ecuatorianos, para seguir reactivando la producción, el empleo y sacar adelante al p… https://t.co/tF8g146bRr","507","955"
"1551644175275380737","2022-07-25 19:02:54+00:00","En la ceremonia conmemorativa de los 81 años del Combate Naval de Jambelí y Día de la @armada_ecuador, ratificamos… https://t.co/AFFnL1AQWf","507","742"
"1551637286936363008","2022-07-25 18:35:31+00:00","Hoy se cumple 1 año desde la partida de mi querido amigo y compañero de lucha, César Monge. Hermano, seguimos traba… https://t.co/66JvA917eR","703","1868"
"1551608555895136258","2022-07-25 16:41:21+00:00","Hace 81 años la gesta de Jambelí nos colmó de honor y de gloria. Hoy, ese legado de valentía sigue intacto con nues… https://t.co/NWfkre5vxJ","625","889"
"1551593068138299392","2022-07-25 15:39:49+00:00","Ante el sismo registrado en la provincia del Carchi, @Riesgos_Ec ha reportado afectaciones de viviendas en San Gabr… https://t.co/STbGyquqvF","656","1116"
"1551587415546019842","2022-07-25 15:17:21+00:00","Esta ofrenda floral es en honor a los guayaquileños. En sus 487 años de fundación siguen demostrando que son person… https://t.co/wsrKMnPHe4","683","1421"
"1551571841747222529","2022-07-25 14:15:28+00:00","La Perla del Pacífico está de fiesta por sus 487 años de fundación. Hoy la homenajeamos por ser una ciudad llena de… https://t.co/qzdpotdYjv","698","1244"
"1551374411105804288","2022-07-25 01:10:57+00:00","Ecuadorka shukshinalla, sinchi, yanapanakushpa kachunmi, wiñachishpa katikunchik. Imapash tukuykunapak paktanalla k… https://t.co/s9asJIXtty","487","652"
"1551371919315898369","2022-07-25 01:01:03+00:00","El Ecuador se construye con pasos firmes. Trabajamos sin descanso para mejorar la vida de todos los ciudadanos.… https://t.co/Pr0ptWMuoF","806","1227"
"1551203826690146308","2022-07-24 13:53:06+00:00","Además, con el apoyo internacional de @UNICEF iniciamos una campaña de educación para promover en la población hábi… https://t.co/RmknXRRDmq","463","621"
"1551203626827350016","2022-07-24 13:52:19+00:00","¡Juntos venceremos a la desnutrición crónica infantil!  330 mil familias vulnerables, ubicadas principalmente en zo… https://t.co/JTghi26ZDw","570","1003"
"1551057109483225090","2022-07-24 04:10:06+00:00","Las finanzas y la justicia social son dos caras de una misma moneda. Hemos puesto en orden la economía y gracias a… https://t.co/kDEaK2Xpwy","670","1880"
"1550268710220349446","2022-07-21 23:57:17+00:00","RT @ComunicacionEc: COMUNICADO OFICIAL | El Gobierno Nacional rechaza enfáticamente la aprobación de una Ley de Comunicación mordaza por la…","939","0"
"1549728775499399168","2022-07-20 12:11:47+00:00","Durante la reunión con la @BancadaAcuerdoN, articulamos estrategias y la agenda legislativa para su segundo período… https://t.co/LdUGqnYqaP","955","1025"
"1549571452151660544","2022-07-20 01:46:38+00:00","Gabriela eres un referente para los jóvenes ecuatorianos. Me alegra saber que deportistas como tú, siguen luchando… https://t.co/FVP1uZ18RA","574","897"
"1549534031586508800","2022-07-19 23:17:56+00:00","Tuve el honor de compartir con Gabriela Vargas, destacada deportista que inspira a los atletas del país. En nombre… https://t.co/bRqtz8LrEf","609","1037"
"1549066440568934400","2022-07-18 16:19:54+00:00","Hemos posicionado al Ecuador como un destino ideal para inversiones. Nuestro portafolio es uno de los más atractivo… https://t.co/Vu4nIsrqRy","1059","1282"
"1549063865769549825","2022-07-18 16:09:40+00:00","Los ciudadanos ecuatorianos me eligieron como su presidente y yo tengo el compromiso de garantizarles un país prósp… https://t.co/E2uR6M88L0","767","1267"
"1548836843545829376","2022-07-18 01:07:34+00:00","Ecuador mama llaktata wiñachikunchik, tandalla, sinchi sinchita, yanapanakushpa. Llankakunchik tukuylla tatanakushp… https://t.co/FeaoqlHZXJ","459","586"
"1548835344891740162","2022-07-18 01:01:36+00:00","El Gobierno Nacional trabaja desde todos los espacios para garantizar un futuro de prosperidad a los ciudadanos. Se… https://t.co/h4SSxGsCDN","549","807"
"1548095205777149955","2022-07-16 00:00:33+00:00","Los jóvenes tendrán más oportunidades y una educación de calidad. El #NuevoReglamentoLOES permitirá a los nuevos ba… https://t.co/ok1kC7evLe","592","973"
"1548085827825045507","2022-07-15 23:23:18+00:00","Los niños, niñas y jóvenes son el presente y futuro de nuestro país, ellos quieren cumplir sus sueños y nosotros es… https://t.co/n3cI8E6luE","507","728"
